
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_D79P
Command line:
  gmx mdrun -v -deffnm O52681_D79P_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_D79P_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot=  3.19524e+06 Fmax= 5.66995e+08, atom= 1881
Step=  117, Dmax= 1.1e-02 nm, Epot= -5.07556e+05 Fmax= 1.58239e+04, atom= 1746
Step=  118, Dmax= 1.4e-02 nm, Epot= -5.07963e+05 Fmax= 5.32545e+03, atom= 1746
Step=  119, Dmax= 1.7e-02 nm, Epot= -5.07689e+05 Fmax= 2.00794e+04, atom= 1746
Step=  120, Dmax= 8.3e-03 nm, Epot= -5.08059e+05 Fmax= 7.37835e+03, atom= 1746
Step=  121, Dmax= 9.9e-03 nm, Epot= -5.08164e+05 Fmax= 7.84248e+03, atom= 1746
Step=  122, Dmax= 1.2e-02 nm, Epot= -5.08227e+05 Fmax= 1.04422e+04, atom= 1746
Step=  123, Dmax= 1.4e-02 nm, Epot= -5.08312e+05 Fmax= 1.14552e+04, atom= 1746
Step=  124, Dmax= 1.7e-02 nm, Epot= -5.08316e+05 Fmax= 1.48509e+04, atom= 1746
Step=  125, Dmax= 2.1e-02 nm, Epot= -5.08355e+05 Fmax= 1.66203e+04, atom= 1746
Step=  126, Dmax= 2.5e-02 nm, Epot= -5.08245e+05 Fmax= 2.11819e+04, atom= 1746
Step=  127, Dmax= 1.2e-02 nm, Epot= -5.08787e+05 Fmax= 2.30127e+03, atom= 1746
Step=  128, Dmax= 1.5e-02 nm, Epot= -5.08771e+05 Fmax= 2.05279e+04, atom= 1746
Step=  129, Dmax= 7.4e-03 nm, Epot= -5.08949e+05 Fmax= 9.07923e+03, atom= 1746
Step=  130, Dmax= 8.9e-03 nm, Epot= -5.09106e+05 Fmax= 4.58015e+03, atom= 1746
Step=  131, Dmax= 1.1e-02 nm, Epot= -5.09143e+05 Fmax= 1.17782e+04, atom= 1746
