
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128Y
Command line:
  gmx mdrun -v -deffnm O52681_V128Y_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128Y_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot=  1.92742e+08 Fmax= 6.97017e+10, atom= 2009
Step=  126, Dmax= 1.0e-02 nm, Epot= -5.06702e+05 Fmax= 7.62365e+03, atom= 1744
Step=  127, Dmax= 1.2e-02 nm, Epot= -5.06730e+05 Fmax= 1.13193e+04, atom= 1744
Step=  128, Dmax= 1.5e-02 nm, Epot= -5.06855e+05 Fmax= 1.13738e+04, atom= 1744
Step=  129, Dmax= 1.8e-02 nm, Epot= -5.06780e+05 Fmax= 1.58828e+04, atom= 1744
Step=  130, Dmax= 8.9e-03 nm, Epot= -5.07160e+05 Fmax= 2.25733e+03, atom= 1744
Step=  131, Dmax= 1.1e-02 nm, Epot= -5.07261e+05 Fmax= 1.41433e+04, atom= 1744
Step=  132, Dmax= 1.3e-02 nm, Epot= -5.07643e+05 Fmax= 5.53136e+03, atom= 1744
Step=  133, Dmax= 1.5e-02 nm, Epot= -5.07396e+05 Fmax= 1.80105e+04, atom= 1744
Step=  134, Dmax= 7.7e-03 nm, Epot= -5.07755e+05 Fmax= 6.24922e+03, atom= 1744
Step=  135, Dmax= 9.2e-03 nm, Epot= -5.07850e+05 Fmax= 7.90427e+03, atom= 1744
Step=  136, Dmax= 1.1e-02 nm, Epot= -5.07944e+05 Fmax= 9.05178e+03, atom= 1744
Step=  137, Dmax= 1.3e-02 nm, Epot= -5.08000e+05 Fmax= 1.13239e+04, atom= 1744
Step=  138, Dmax= 1.6e-02 nm, Epot= -5.08055e+05 Fmax= 1.30676e+04, atom= 1744
Step=  139, Dmax= 1.9e-02 nm, Epot= -5.08037e+05 Fmax= 1.62408e+04, atom= 1744
Step=  140, Dmax= 9.6e-03 nm, Epot= -5.08391e+05 Fmax= 1.59413e+03, atom= 1744
Step=  141, Dmax= 1.1e-02 nm, Epot= -5.08624e+05 Fmax= 1.60533e+04, atom= 1744
Step=  142, Dmax= 1.4e-02 nm, Epot= -5.09043e+05 Fmax= 5.14355e+03, atom= 1744
Step=  143, Dmax= 1.7e-02 nm, Epot= -5.08761e+05 Fmax= 2.01389e+04, atom= 1744
Step=  144, Dmax= 8.3e-03 nm, Epot= -5.09132e+05 Fmax= 7.51599e+03, atom= 1744
Step=  145, Dmax= 9.9e-03 nm, Epot= -5.09236e+05 Fmax= 7.71784e+03, atom= 1744
Step=  146, Dmax= 1.2e-02 nm, Epot= -5.09290e+05 Fmax= 1.05076e+04, atom= 1744
Step=  147, Dmax= 1.4e-02 nm, Epot= -5.09374e+05 Fmax= 1.14113e+04, atom= 1744
Step=  148, Dmax= 1.7e-02 nm, Epot= -5.09372e+05 Fmax= 1.48044e+04, atom= 1744
Step=  149, Dmax= 8.6e-03 nm, Epot= -5.09608e+05 Fmax= 1.71425e+03, atom= 1744
Step=  150, Dmax= 1.0e-02 nm, Epot= -5.09823e+05 Fmax= 1.41155e+04, atom= 1744
Step=  151, Dmax= 1.2e-02 nm, Epot= -5.10119e+05 Fmax= 4.80172e+03, atom= 1744
Step=  152, Dmax= 1.5e-02 nm, Epot= -5.09974e+05 Fmax= 1.79690e+04, atom= 1744
Step=  153, Dmax= 7.4e-03 nm, Epot= -5.10212e+05 Fmax= 6.58297e+03, atom= 1744
Step=  154, Dmax= 8.9e-03 nm, Epot= -5.10306e+05 Fmax= 7.02761e+03, atom= 1744
Step=  155, Dmax= 1.1e-02 nm, Epot= -5.10373e+05 Fmax= 9.35465e+03, atom= 1744
Step=  156, Dmax= 1.3e-02 nm, Epot= -5.10453e+05 Fmax= 1.02362e+04, atom= 1744
Step=  157, Dmax= 1.5e-02 nm, Epot= -5.10477e+05 Fmax= 1.33310e+04, atom= 1744
Step=  158, Dmax= 1.8e-02 nm, Epot= -5.10527e+05 Fmax= 1.48418e+04, atom= 1744
Step=  159, Dmax= 2.2e-02 nm, Epot= -5.10469e+05 Fmax= 1.90330e+04, atom= 1744
Step=  160, Dmax= 1.1e-02 nm, Epot= -5.10841e+05 Fmax= 2.10766e+03, atom= 1744
Step=  161, Dmax= 1.3e-02 nm, Epot= -5.10919e+05 Fmax= 1.82545e+04, atom= 1744
Step=  162, Dmax= 1.6e-02 nm, Epot= -5.11316e+05 Fmax= 6.25350e+03, atom= 1744
Step=  163, Dmax= 1.9e-02 nm, Epot= -5.10994e+05 Fmax= 2.29487e+04, atom= 1744
Step=  164, Dmax= 9.5e-03 nm, Epot= -5.11388e+05 Fmax= 8.37053e+03, atom= 1744
Step=  165, Dmax= 1.1e-02 nm, Epot= -5.11468e+05 Fmax= 9.24305e+03, atom= 1744
Step=  166, Dmax= 1.4e-02 nm, Epot= -5.11511e+05 Fmax= 1.18084e+04, atom= 1744
Step=  167, Dmax= 1.6e-02 nm, Epot= -5.11563e+05 Fmax= 1.35269e+04, atom= 1744
Step=  168, Dmax= 2.0e-02 nm, Epot= -5.11559e+05 Fmax= 1.67439e+04, atom= 1744
Step=  169, Dmax= 9.9e-03 nm, Epot= -5.11802e+05 Fmax= 1.63704e+03, atom= 1744
Step=  170, Dmax= 1.2e-02 nm, Epot= -5.12011e+05 Fmax= 1.66998e+04, atom= 1744
Step=  171, Dmax= 1.4e-02 nm, Epot= -5.12319e+05 Fmax= 5.17387e+03, atom= 1744
Step=  172, Dmax= 1.7e-02 nm, Epot= -5.12122e+05 Fmax= 2.11663e+04, atom= 1744
Step=  173, Dmax= 8.5e-03 nm, Epot= -5.12390e+05 Fmax= 8.00189e+03, atom= 1744
Step=  174, Dmax= 1.0e-02 nm, Epot= -5.12477e+05 Fmax= 7.72452e+03, atom= 1744
Step=  175, Dmax= 1.2e-02 nm, Epot= -5.12516e+05 Fmax= 1.12185e+04, atom= 1744
Step=  176, Dmax= 1.5e-02 nm, Epot= -5.12596e+05 Fmax= 1.14119e+04, atom= 1744
Step=  177, Dmax= 1.8e-02 nm, Epot= -5.12582e+05 Fmax= 1.58246e+04, atom= 1744
Step=  178, Dmax= 8.9e-03 nm, Epot= -5.12764e+05 Fmax= 2.20844e+03, atom= 1744
Step=  179, Dmax= 1.1e-02 nm, Epot= -5.12889e+05 Fmax= 1.40841e+04, atom= 1744
Step=  180, Dmax= 1.3e-02 nm, Epot= -5.13098e+05 Fmax= 5.56966e+03, atom= 1744
Step=  181, Dmax= 1.5e-02 nm, Epot= -5.13009e+05 Fmax= 1.78773e+04, atom= 1744
Step=  182, Dmax= 7.7e-03 nm, Epot= -5.13176e+05 Fmax= 6.16389e+03, atom= 1744
Step=  183, Dmax= 9.2e-03 nm, Epot= -5.13245e+05 Fmax= 7.98610e+03, atom= 1744
Step=  184, Dmax= 1.1e-02 nm, Epot= -5.13315e+05 Fmax= 8.91137e+03, atom= 1744
Step=  185, Dmax= 1.3e-02 nm, Epot= -5.13361e+05 Fmax= 1.14468e+04, atom= 1744
Step=  186, Dmax= 1.6e-02 nm, Epot= -5.13413e+05 Fmax= 1.28691e+04, atom= 1744
Step=  187, Dmax= 1.9e-02 nm, Epot= -5.13415e+05 Fmax= 1.64015e+04, atom= 1744
Step=  188, Dmax= 2.3e-02 nm, Epot= -5.13433e+05 Fmax= 1.85419e+04, atom= 1744
Step=  189, Dmax= 2.7e-02 nm, Epot= -5.13344e+05 Fmax= 2.34843e+04, atom= 1744
Step=  190, Dmax= 1.4e-02 nm, Epot= -5.13764e+05 Fmax= 2.50248e+03, atom= 1744
Step=  191, Dmax= 1.6e-02 nm, Epot= -5.13727e+05 Fmax= 2.27833e+04, atom= 1744
Step=  192, Dmax= 8.2e-03 nm, Epot= -5.13878e+05 Fmax= 1.00922e+04, atom= 1744
Step=  193, Dmax= 9.9e-03 nm, Epot= -5.13998e+05 Fmax= 5.11368e+03, atom= 1744
Step=  194, Dmax= 1.2e-02 nm, Epot= -5.14014e+05 Fmax= 1.30348e+04, atom= 1744
Step=  195, Dmax= 1.4e-02 nm, Epot= -5.14152e+05 Fmax= 8.84115e+03, atom= 1744
Step=  196, Dmax= 1.7e-02 nm, Epot= -5.14085e+05 Fmax= 1.72878e+04, atom= 1744
Step=  197, Dmax= 8.5e-03 nm, Epot= -5.14254e+05 Fmax= 4.23576e+03, atom= 1744
Step=  198, Dmax= 1.0e-02 nm, Epot= -5.14301e+05 Fmax= 1.15429e+04, atom= 1744
Step=  199, Dmax= 1.2e-02 nm, Epot= -5.14423e+05 Fmax= 7.29053e+03, atom= 1744
Step=  200, Dmax= 1.5e-02 nm, Epot= -5.14394e+05 Fmax= 1.54047e+04, atom= 1744
Step=  201, Dmax= 7.4e-03 nm, Epot= -5.14508e+05 Fmax= 4.05473e+03, atom= 1744
Step=  202, Dmax= 8.8e-03 nm, Epot= -5.14573e+05 Fmax= 9.49100e+03, atom= 1744
Step=  203, Dmax= 1.1e-02 nm, Epot= -5.14668e+05 Fmax= 6.85268e+03, atom= 1744
Step=  204, Dmax= 1.3e-02 nm, Epot= -5.14684e+05 Fmax= 1.26615e+04, atom= 1744
